skill, wiki_page, average_views
multilingual and cross-lingual retrieval,  Cross-language_information_retrieval,  24
multimedia and multimodal retrieval,  Multimedia_information_retrieval,  9
image search,  Image_meta_search,  28
video search,  Video_search_engine,  109
speech / audio search,  Audio_search_engine,  37
music retrieval,  Music_information_retrieval,  62
environment-specific retrieval,  Context-dependent_memory,  139
enterprise search,  Enterprise_search,  88
desktop search,  Desktop_search,  83
web and social media search,  Social_search,  58
security and privacy,  Information_privacy,  251
cryptography,  Cryptography,  2399
key management,  Key_management,  231
public key (asymmetric) techniques,  Public-key_cryptography,  2074
digital signatures,  Digital_signature,  1402
public key encryption,  Public-key_cryptography,  2074
symmetric cryptography and hash functions,  Cryptographic_hash_function,  1320
block and stream ciphers,  Stream_cipher,  343
hash functions and message authentication codes,  Hash-based_message_authentication_code,  871
cryptanalysis and other attacks,  Cryptanalysis,  493
information-theoretic techniques,  Information_theory,  1184
mathematical foundations of cryptography,  Cryptography,  2399
formal methods and theory of security,  Formal_methods,  227
trust frameworks,  Open_Identity_Exchange,  8
security requirements,  Cyber_security_standards,  287
formal security models,  Computer_security_model,  56
logic and verification,  Verificationism,  132
security services,  UK_security_services,  23
authentication,  Multi-factor_authentication,  595
biometrics,  Biometrics,  1073
graphical / visual passwords,  Graphical_identification_and_authentication,  26
multi-factor authentication,  Multi-factor_authentication,  595
access control,  Access_control,  812
pseudonymity anonymity and untraceability,  Pseudonymous_remailer,  13
privacy-preserving protocols,  Secure_multi-party_computation,  81
digital rights management,  Digital_rights_management,  1317
authorization,  Authorization,  247
intrusion/anomaly detection and malware mitigation,  Intrusion_detection_system,  968
malware and its mitigation,  Computer_worm,  1028
intrusion detection systems,  Intrusion_detection_system,  968
social engineering attacks,  Social_engineering_(security),  1387
spoofing attacks,  Spoofing_attack,  550
phishing,  Phishing,  3377
security in hardware,  Hardware_security_module,  488
tamper-proof and tamper-resistant designs,  Tamper_resistance,  139
embedded systems security,  Embedded_system,  1899
hardware security implementation,  Hardware_security_module,  488
hardware-based security protocols,  Hardware_security_module,  488
hardware attacks and countermeasures,  Side-channel_attack,  192
malicious design modifications,  Hardware_Trojan,  32
side-channel analysis and countermeasures,  Side-channel_attack,  192
hardware reverse engineering,  Reverse_engineering,  914
systems security,  Computer_security,  2110
operating systems security,  Category:Operating_system_security,  13
mobile platform security,  Mobile_security,  306
trusted computing,  Trusted_Computing,  180
virtualization and security,  Virtual_security_appliance,  11
browser security,  Browser_security,  174
distributed systems security,  Distributed_System_Security_Architecture,  9
information flow control,  Information_flow_(information_theory),  63
denial-of-service attacks,  Denial-of-service_attack,  5537
firewalls,  Firewall_(computing),  1940
vulnerability management,  Vulnerability_management,  78
penetration testing,  Penetration_test,  745
vulnerability scanners,  Vulnerability_scanner,  133
file system security,  File_system,  1198
network security,  Network_security,  768
security protocols,  Cryptographic_protocol,  168
web protocol security,  Internet_security,  515
mobile and wireless security,  Wireless_security,  448
denial-of-service attacks,  Denial-of-service_attack,  5537
database and storage security,  Database_security,  249
data anonymization and sanitization,  Data_anonymization,  96
management and querying of encrypted data,  Transbase,  5
information accountability and usage control,  Information_governance,  132
database activity monitoring,  Database_activity_monitoring,  53
software and application security,  Application_security,  217
software security engineering,  Security_engineering,  148
web application security,  Web_application_security,  215
social network security and privacy,  Privacy_concerns_with_social_networking_services,  188
domain-specific security and privacy architectures,  Domain_Based_Security,  6
software reverse engineering,  Reverse_engineering,  914
human and societal aspects of security and privacy,  Human_security,  249
economics of security and privacy,  Economics_of_security,  13
social aspects of security and privacy,  Privacy_concerns_with_social_networking_services,  188
privacy protections,  Information_privacy,  251
usability in security and privacy,  Human-computer_interaction_(security),  2
human-centered computing,  Human-centered_computing,  42
human computer interaction,  Human-computer_interaction,  74
hci design and evaluation methods,  Heuristic_evaluation,  211
user models,  User_modeling,  32
user studies,  Template:User_Studies_at_balshaws,  0
usability testing,  Usability_testing,  394
heuristic evaluations,  Heuristic_evaluation,  211
walkthrough evaluations,  Cognitive_walkthrough,  63
laboratory experiments,  Field_experiment,  113
field studies,  Field_Studies,  4
interaction paradigms,  Human-computer_interaction,  74
hypertext / hypermedia,  Hypermedia,  323
mixed / augmented reality,  Mixed_reality,  257
command line interfaces,  Command-line_interface,  1182
graphical user interfaces,  Graphical_user_interface,  1828
virtual reality,  Virtual_reality,  5410
web-based interaction,  Virtual_community,  261
natural language interfaces,  Natural_language_user_interface,  106
collaborative interaction,  Collaborative_learning,  271
interaction devices,  3D_interaction,  18
graphics input devices,  Input_device,  1779
displays and imagers,  Stereoscopy,  834
sound-based input / output,  Sound_card,  757
keyboards,  Computer_keyboard,  3021
pointing devices,  Pointing_device,  227
touch screens,  Touchscreen,  1365
haptic devices,  Haptic_technology,  699
hci theory concepts and models,  Conceptual_model,  463
interaction techniques,  Interaction_technique,  40
auditory feedback,  Auditory_feedback,  9
text input,  Text_box,  186
pointing,  Repointing,  141
gestural input,  Gesture_recognition,  266
interactive systems and tools,  Interactive_Systems_Corporation,  24
user interface management systems,  User_interface_management_systems,  16
user interface programming,  Graphical_user_interface,  1828
user interface toolkits,  User_Interface_Toolkit,  4
empirical studies in hci,  IFIP_WG_13.6_-_Human_Work_Interaction_Design,  2
interaction design,  Interactive_design,  72
interaction design process and methods,  Interaction_design,  394
user interface design,  User_interface_design,  668
user centered design,  User-centered_design,  420
activity centered design,  Activity-centered_design,  44
scenario-based design,  Scenario_(computing),  46
participatory design,  Participatory_design,  166
contextual design,  Contextual_design,  77
interface design prototyping,  User_interface_design,  668
interaction design theory concepts and paradigms,  Interaction_design,  394
empirical studies in interaction design,  IFIP_WG_13.6_-_Human_Work_Interaction_Design,  2
systems and tools for interaction design,  Interaction_design,  394
wireframes,  Website_wireframe,  806
collaborative and social computing,  Social_computing,  104
collaborative and social computing theory concepts and paradigms,  Social_computing,  104
social content sharing,  Social_media,  5311
collaborative content creation,  Collaboration,  670
collaborative filtering,  Collaborative_filtering,  536
social recommendation,  Recommender_system,  577
social networks,  Social_networking_service,  2473
social tagging,  Social_bookmarking,  370
computer supported cooperative work,  Computer-supported_cooperative_work,  70
social engineering,  Social_engineering_(security),  1387
social navigation,  Social_navigation,  5
social media,  Social_media,  5311
collaborative and social computing design and evaluation methods,  Social_computing,  104
social network analysis,  Social_network_analysis,  495
ethnographic studies,  Ethnography,  1339
collaborative and social computing systems and tools,  Social_computing,  104
blogs,  Blog,  5235
wikis,  Wiki_markup,  323
reputation systems,  Reputation_system,  69
open source software,  Open-source_software,  2131
social networking sites,  List_of_social_networking_websites,  4450
social tagging systems,  Social_bookmarking,  370
synchronous editors,  Collaborative_editing,  58
asynchronous editors,  Collaborative_editing,  58
empirical studies in collaborative and social computing,  Computational_sociology,  72
collaborative and social computing devices,  Social_computing,  104
ubiquitous and mobile computing,  Ubiquitous_computing,  525
ubiquitous and mobile computing theory concepts and paradigms,  Ubiquitous_computing,  525
ubiquitous computing,  Ubiquitous_computing,  525
mobile computing,  Mobile_computing,  633
ambient intelligence,  Ambient_intelligence,  184
ubiquitous and mobile computing systems and tools,  Ubiquitous_computing,  525
ubiquitous and mobile devices,  Ubiquitous_computing,  525
smartphones,  Smartphone,  4609
interactive whiteboards,  Interactive_whiteboard,  301
mobile phones,  Mobile_phone,  5274
mobile devices,  Mobile_device,  692
portable media players,  Portable_media_player,  430
personal digital assistants,  Personal_digital_assistant,  849
handheld game consoles,  Handheld_game_console,  584
e-book readers,  Comparison_of_e-book_readers,  500
tablet computers,  Tablet_computer,  1687
ubiquitous and mobile computing design and evaluation methods,  Ubiquitous_computing,  525
empirical studies in ubiquitous and mobile computing,  Computational_lexicology,  12
visualization,  Visualization_(graphics),  38
visualization techniques,  Data_visualization,  687
treemaps,  Treemapping,  173
hyperbolic trees,  Hyperbolic_tree,  16
heat maps,  Heat_map,  441
graph drawings,  Graph_drawing,  179
dendrograms,  Dendrogram,  217
cladograms,  Cladogram,  325
visualization application domains,  Geovisualization,  56
scientific visualization,  Scientific_visualization,  127
visual analytics,  Visual_analytics,  106
geographic visualization,  Geovisualization,  56
information visualization,  Information_visualization,  141
visualization systems and tools,  Software_visualization,  51
visualization toolkits,  Category:JavaScript_visualization_toolkits,  4
visualization theory concepts and paradigms,  Paradigm_shift,  930
empirical studies in visualization,  Scientific_modelling,  311
visualization design and evaluation methods,  Visual_analytics,  106
accessibility,  Accessibility,  500
accessibility theory concepts and paradigms,  Universal_design,  258
empirical studies in accessibility,  Disability_studies,  98
accessibility design and evaluation methods,  Usability_engineering,  56
accessibility technologies,  Accessibility,  500
accessibility systems and tools,  Accessibility,  500
computing methodologies,  Computational_science,  253
symbolic and algebraic manipulation,  Symbolic_computation,  147
symbolic and algebraic algorithms,  Symbolic_computation,  147
combinatorial algorithms,  Category:Combinatorial_algorithms,  11
algebraic algorithms,  Algebraic-group_factorisation_algorithm,  4
nonalgebraic algorithms,  Transcendental_number,  666
symbolic calculus algorithms,  Symbolic_computation,  147
exact arithmetic algorithms,  Arbitrary-precision_arithmetic,  183
hybrid symbolic-numeric methods,  Symbolic-numeric_computation,  10
discrete calculus algorithms,  Index_calculus_algorithm,  28
number theory algorithms,  Computational_number_theory,  36
equation and inequality solving algorithms,  Equation_solving,  114
linear algebra algorithms,  Numerical_linear_algebra,  85
theorem proving algorithms,  Automated_theorem_proving,  158
boolean algebra algorithms,  Category:Boolean_algebra,  12
optimization algorithms,  Category:Optimization_algorithms_and_methods,  94
computer algebra systems,  Computer_algebra_system,  204
special-purpose algebraic systems,  Computer_algebra_system,  204
representation of mathematical objects,  Representation_(mathematics),  45
representation of exact numbers,  Approximate_number_system,  32
representation of mathematical functions,  Function_(mathematics),  2402
representation of boolean functions,  Boolean_function,  228
representation of polynomials,  Polynomial_representations_of_cyclic_redundancy_checks,  101
parallel computing methodologies,  Parallel_computing,  902
parallel algorithms,  Parallel_algorithm,  80
mapreduce algorithms,  MapReduce,  1606
self-organization,  Self-organization,  277
shared memory algorithms,  Parallel_algorithm,  80
vector / streaming algorithms,  Streaming_algorithm,  97
massively parallel algorithms,  Massively_parallel_(computing),  117
parallel programming languages,  List_of_concurrent_and_parallel_programming_languages,  88
artificial intelligence,  Artificial_intelligence,  6290
natural language processing,  Natural_language_processing,  1925
information extraction,  Information_extraction,  241
machine translation,  Machine_translation,  375
discourse dialogue and pragmatics,  Constructed_action_and_dialogue,  4
natural language generation,  Natural_language_generation,  136
speech recognition,  Speech_recognition,  845
lexical semantics,  Lexical_semantics,  171
phonology / morphology,  Theoretical_linguistics,  149
language resources,  International_Conference_on_Language_Resources_and_Evaluation,  4
knowledge representation and reasoning,  Knowledge_representation_and_reasoning,  246
description logics,  Description_logic,  145
semantic networks,  Semantic_network,  243
nonmonotonic default reasoning and belief revision,  Belief_revision,  41
probabilistic reasoning,  Probabilistic_logic,  95
vagueness and fuzzy logic,  Vagueness,  95
causal reasoning and diagnostics,  Causal_reasoning,  60
temporal reasoning,  Spatial–temporal_reasoning,  0
cognitive robotics,  Cognitive_robotics,  48
ontology engineering,  Ontology_engineering,  197
logic programming and answer set programming,  Answer_set_programming,  82
spatial and physical reasoning,  Spatial–temporal_reasoning,  0
reasoning about belief and knowledge,  Belief_revision,  41
planning and scheduling,  Advanced_planning_and_scheduling,  81
planning for deterministic actions,  Automated_planning_and_scheduling,  128
planning under uncertainty,  Uncertainty,  538
multi-agent planning,  Multi-agent_planning,  18
planning with abstraction and generalization,  Inventor's_paradox,  63
robotic planning,  Motion_planning,  149
search methodologies,  Methodology,  1392
heuristic function construction,  Admissible_heuristic,  121
discrete space search,  Discrete_space,  163
continuous space search,  State_space,  140
randomized search,  Random_search,  41
game tree search,  Game_tree,  110
abstraction and micro-operators,  Psi-theory,  5
search with partial observations,  Observed_information,  40
control methods,  Comparison_of_birth_control_methods,  267
robotic planning,  Motion_planning,  149
computational control theory,  Control_theory,  1032
motion path planning,  Motion_planning,  149
philosophical/theoretical foundations of artificial intelligence,  Philosophy_of_artificial_intelligence,  335
cognitive science,  Cognitive_science,  971
theory of mind,  Theory_of_mind,  1065
distributed artificial intelligence,  Distributed_artificial_intelligence,  66
multi-agent systems,  Multi-agent_system,  238
intelligent agents,  Intelligent_agent,  347
mobile agents,  Mobile_agent,  53
cooperation and coordination,  Turkish_International_Cooperation_and_Development_Agency,  20
computer vision,  Computer_vision,  882
computer vision tasks,  Computer_vision,  882
biometrics,  Biometrics,  1073
scene understanding,  Computer_vision,  882
activity recognition and understanding,  Activity_recognition,  45
video summarization,  Video_synopsis,  20
visual content-based indexing and retrieval,  Content-based_image_retrieval,  170
visual inspection,  Visual_inspection,  93
vision for robotics,  Vision_Guided_Robotic_Systems,  18
scene anomaly detection,  Hyperspectral_imaging,  425
image and video acquisition,  Video_capture,  65
camera calibration,  Camera_resectioning,  139
epipolar geometry,  Epipolar_geometry,  125
computational photography,  Computational_photography,  61
hyperspectral imaging,  Hyperspectral_imaging,  425
motion capture,  Motion_capture,  640
3d imaging,  Category:3D_imaging,  35
active vision,  Active_vision,  11
computer vision representations,  Feature_(computer_vision),  83
image representations,  Pyramid_(image_processing),  141
shape representations,  Shape_analysis_(digital_geometry),  27
appearance and texture representations,  Bidirectional_texture_function,  11
hierarchical representations,  Hierarchy,  885
computer vision problems,  Computer_vision,  882
interest point and salient region detections,  Kadir–Brady_saliency_detector,  0
image segmentation,  Image_segmentation,  498
video segmentation,  Image_segmentation,  498
shape inference,  Statistical_inference,  713
object detection,  Object_detection,  45
object recognition,  Cognitive_neuroscience_of_visual_object_recognition,  64
object identification,  Object_identifier,  168
tracking,  Tracking,  51
reconstruction,  Bibliography_of_the_Reconstruction_Era,  25
matching,  Matching,  40
machine learning,  Machine_learning,  4494
learning paradigms,  Implicit_learning,  102
supervised learning,  Supervised_learning,  813
ranking,  Ranking,  362
learning to rank,  Learning_to_rank,  213
supervised learning by classification,  Supervised_learning,  813
supervised learning by regression,  Supervised_learning,  813
structured outputs,  Structured_prediction,  109
cost-sensitive learning,  Proactive_learning,  36
unsupervised learning,  Unsupervised_learning,  680
cluster analysis,  Cluster_analysis,  1967
anomaly detection,  Anomaly_detection,  361
mixture modeling,  Mixture_model,  484
topic modeling,  Topic_model,  189
source separation,  Blind_signal_separation,  59
motif discovery,  Sequence_motif,  152
dimensionality reduction and manifold learning,  Nonlinear_dimensionality_reduction,  173
reinforcement learning,  Reinforcement_learning,  989
sequential decision making,  Sequential_analysis,  126
inverse reinforcement learning,  Apprenticeship_learning,  19
apprenticeship learning,  Apprenticeship_learning,  19
multi-agent reinforcement learning,  Multi-agent_system,  238
adversarial learning,  Adversarial_machine_learning,  48
multi-task learning,  Multi-task_learning,  88
transfer learning,  Inductive_transfer,  67
lifelong machine learning,  Robot_learning,  34
learning under covariate shift,  Domain_adaptation,  18
learning settings,  Learning_space,  51
batch learning,  Online_machine_learning,  214
online learning settings,  E-learning_(theory),  127
learning from demonstrations,  Demonstration_(teaching),  196
learning from critiques,  Learning_styles,  1085
learning from implicit feedback,  Implicit_learning,  102
active learning settings,  Active_learning,  512
semi-supervised learning settings,  Semi-supervised_learning,  202
machine learning approaches,  Machine_learning,  4494
classification and regression trees,  Decision_tree_learning,  1195
kernel methods,  Kernel_method,  436
support vector machines,  Least_squares_support_vector_machine,  38
gaussian processes,  Gaussian_process,  425
neural networks,  Biological_neural_network,  226
logical and relational learning,  Statistical_relational_learning,  33
inductive logic learning,  Inductive_logic_programming,  79
statistical relational learning,  Statistical_relational_learning,  33
learning in probabilistic graphical models,  Graphical_model,  265
maximum likelihood modeling,  Maximum_likelihood_estimation,  581
maximum entropy modeling,  Principle_of_maximum_entropy,  264
maximum a posteriori modeling,  Maximum_a_posteriori_estimation,  285
mixture models,  Mixture_model,  484
latent variable models,  Latent_variable_model,  116
bayesian network models,  Bayesian_network,  902
learning linear models,  Linear_classifier,  157
perceptron algorithm,  Perceptron,  761
factorization methods,  Factorization,  505
non-negative matrix factorization,  Non-negative_matrix_factorization,  262
factor analysis,  Factor_analysis,  1141
principal component analysis,  Principal_component_analysis,  2677
canonical correlation analysis,  Canonical_correlation,  193
latent dirichlet allocation,  Latent_Dirichlet_allocation,  637
rule learning,  Association_rule_learning,  584
instance-based learning,  Instance-based_learning,  53
markov decision processes,  Markov_decision_process,  421
partially-observable markov decision processes,  Partially_observable_Markov_decision_process,  91
stochastic games,  Stochastic_game,  47
learning latent representations,  Latent_variable,  327
deep belief networks,  Deep_belief_network,  219
machine learning algorithms,  List_of_machine_learning_concepts,  331
dynamic programming for markov decision processes,  Markov_decision_process,  421
value iteration,  Markov_decision_process,  421
q-learning,  Q-learning,  438
policy iteration,  Markov_decision_process,  421
temporal difference learning,  Temporal_difference_learning,  126
approximate dynamic programming methods,  Dynamic_programming,  1399
ensemble methods,  Ensemble_learning,  434
boosting,  Boosting_(machine_learning),  291
bagging,  Bootstrap_aggregating,  332
spectral methods,  Spectral_method,  93
feature selection,  Regularization_(mathematics),  483
regularization,  Regularization_(mathematics),  483
cross-validation,  Cross-validation_(statistics),  1225
modeling and simulation,  Modeling_and_simulation,  209
model development and analysis,  ADDIE_Model,  370
modeling methodologies,  Data_modeling,  702
model verification and validation,  Verification_and_validation_of_computer_simulation_models,  83
uncertainty quantification,  Uncertainty_quantification,  135
simulation theory,  Simulated_reality,  737
systems theory,  Category:Systems_theory,  45
network science,  Network_science,  208
simulation types and techniques,  Simulation,  1134
uncertainty quantification,  Uncertainty_quantification,  135
quantum mechanic simulation,  Quantum_simulator,  37
molecular simulation,  Molecular_modelling,  128
rare-event simulation,  Rare_Event_Sampling,  11
discrete-event simulation,  Discrete_event_simulation,  216
agent / discrete models,  Agent-based_model,  356
distributed simulation,  Distributed_Interactive_Simulation,  72
continuous simulation,  Continuous_simulation,  37
continuous models,  Continuous_modelling,  11
real-time simulation,  Real-time_simulation,  28
interactive simulation,  Distributed_Interactive_Simulation,  72
multiscale systems,  Multiscale_modeling,  71
massively parallel and high-performance simulations,  Supercomputer,  3462
data assimilation,  Data_assimilation,  74
scientific visualization,  Scientific_visualization,  127
visual analytics,  Visual_analytics,  106
simulation by animation,  Computer_simulation,  481
simulation support systems,  Modeling_and_simulation,  209
simulation environments,  Computer_simulation,  481
simulation languages,  Simulation_language,  47
simulation tools,  List_of_computer_simulation_software,  307
simulation evaluation,  Simulation,  1134
computer graphics,  Computer_graphics_(computer_science),  183
animation,  Animation,  2505
motion capture,  Motion_capture,  640
procedural animation,  Procedural_animation,  52
physical simulation,  Simulation,  1134
motion processing,  Motion_perception,  139
collision detection,  Collision_detection,  215
rendering,  Rendering_(computer_graphics),  791
rasterization,  Rasterisation,  258
ray tracing,  Ray_tracing_(graphics),  472
non-photorealistic rendering,  Non-photorealistic_rendering,  82
reflectance modeling,  Phong_reflection_model,  191
visibility,  Visibility,  188
image manipulation,  Photo_manipulation,  453
computational photography,  Computational_photography,  61
image processing,  Image_processing,  713
texturing,  Texture_mapping,  283
image-based rendering,  Image-based_modeling_and_rendering,  40
antialiasing,  Spatial_anti-aliasing,  254
graphics systems and interfaces,  Graphical_user_interface,  1828
graphics processors,  Graphics_processing_unit,  1376
graphics input devices,  Input_device,  1779
mixed / augmented reality,  Mixed_reality,  257
perception,  Perception,  1526
graphics file formats,  Image_file_formats,  1406
virtual reality,  Virtual_reality,  5410
image compression,  Image_compression,  341
shape modeling,  Active_shape_model,  39
mesh models,  Polygon_mesh,  299
mesh geometry models,  Polygon_mesh,  299
parametric curve and surface models,  Parametric_equation,  525
point-based models,  Agent-based_model,  356
volumetric models,  3D_modeling,  590
shape analysis,  Shape_analysis,  7
distributed computing methodologies,  Distributed_computing,  1164
distributed algorithms,  Distributed_algorithm,  58
mapreduce algorithms,  MapReduce,  1606
self-organization,  Self-organization,  277
distributed programming languages,  List_of_concurrent_and_parallel_programming_languages,  88
concurrent computing methodologies,  Parallel_computing,  902
concurrent programming languages,  List_of_concurrent_and_parallel_programming_languages,  88
concurrent algorithms,  Concurrent_algorithm,  15
applied computing,  Symposium_on_Applied_Computing,  2
electronic commerce,  B2B_e-commerce,  51
digital cash,  Electronic_money,  348
e-commerce infrastructure,  Center_for_E-Commerce_Infrastructure_Development,  2
electronic data interchange,  Electronic_data_interchange,  886
electronic funds transfer,  Electronic_funds_transfer,  752
online shopping,  Online_shopping,  1629
online banking,  Online_banking,  1317
secure online transactions,  3-D_Secure,  601
online auctions,  Online_auction,  159
enterprise computing,  Enterprise_software,  570
enterprise information systems,  Enterprise_information_system,  130
intranets,  Intranets,  12
extranets,  Extranets,  3
enterprise resource planning,  Enterprise_resource_planning,  3992
enterprise applications,  Enterprise_software,  570
data centers,  Data_center,  1461
business process management,  Business_process_management,  921
business process modeling,  Business_process_modeling,  496
business process management systems,  Business_process_management,  921
business process monitoring,  Business_activity_monitoring,  98
cross-organizational business processes,  Business_process,  711
business intelligence,  Business_intelligence,  1793
enterprise architectures,  Enterprise_architecture,  571
enterprise architecture management,  Enterprise_architecture_management,  17
enterprise architecture frameworks,  Enterprise_architecture_framework,  216
enterprise architecture modeling,  Enterprise_architecture,  571
service-oriented architectures,  Service-oriented_architecture,  2046
event-driven architectures,  Event-driven_architecture,  297
business rules,  Business_rule,  189
enterprise modeling,  Enterprise_modelling,  71
enterprise ontologies taxonomies and vocabularies,  Ontology_(information_science),  847
enterprise data management,  Enterprise_data_management,  72
reference models,  Reference_model,  60
business-it alignment,  Business-IT_alignment,  91
it architectures,  Information_technology_architecture,  103
it governance,  Corporate_governance_of_information_technology,  153
enterprise computing infrastructures,  Cloud_computing,  7622
enterprise interoperability,  Enterprise_interoperability,  6
enterprise application integration,  Enterprise_application_integration,  376
information integration and interoperability,  Governance_Interoperability_Framework,  4
physical sciences and engineering,  Engineering_and_Physical_Sciences,  4
aerospace,  Aerospace,  575
avionics,  Avionics,  492
archaeology,  Archaeology,  1649
astronomy,  Astronomy,  2338
chemistry,  Chemistry,  3285
earth and atmospheric sciences,  Atmospheric_sciences,  145
environmental sciences,  Environmental_science,  1039
engineering,  Mechanical_engineering,  3408
computer-aided design,  Computer-aided_design,  1990
physics,  Physics,  4234
mathematics and statistics,  Mathematical_statistics,  423
electronics,  Electronics,  1991
avionics,  Avionics,  492
telecommunications,  Telecommunications,  486
internet telephony,  Internet_telephony_service_provider,  54
life and medical sciences,  List_of_life_sciences,  906
computational biology,  Computational_biology,  328
molecular sequence analysis,  Sequence_analysis,  113
recognition of genes and regulatory elements,  B_recognition_element,  23
molecular evolution,  Molecular_evolution,  138
computational transcriptomics,  Transcriptome,  291
biological networks,  Biological_network,  78
sequencing and genotyping technologies,  SNP_genotyping,  218
imaging,  Imaging,  74
computational proteomics,  Proteomics,  505
molecular structural biology,  Structural_biology,  114
computational genomics,  Computational_genomics,  48
genomics,  Genomics,  612
computational genomics,  Computational_genomics,  48
systems biology,  Systems_biology,  312
consumer health,  Consumer_health_informatics,  86
health care information systems,  Hospital_information_system,  308
health informatics,  Health_informatics,  635
bioinformatics,  Bioinformatics,  1326
metabolomics / metabonomics,  Metabolomics,  273
genetics,  Genetics,  2221
population genetics,  Population_genetics,  410
proteomics,  Proteomics,  505
computational proteomics,  Proteomics,  505
transcriptomics,  Transcriptome,  291
law social and behavioral sciences,  ACM_Computing_Classification_System,  79
anthropology,  Anthropology,  4176
ethnography,  Ethnography,  1339
law,  Law,  3149
psychology,  Psychology,  5436
economics,  Economics,  4376
sociology,  Sociology,  3630
computer forensics,  Computer_forensics,  414
surveillance mechanisms,  MRNA_surveillance,  31
investigation techniques,  Criminal_investigation,  148
evidence collection storage and analysis,  Evidence_management,  29
network forensics,  Network_forensics,  70
system forensics,  Computer_forensics,  414
data recovery,  Data_recovery,  300
arts and humanities,  Arts_and_Humanities_Citation_Index,  46
fine arts,  Fine_art,  1016
performing arts,  Performing_arts,  756
architecture,  Architecture,  2462
computer-aided design,  Computer-aided_design,  1990
language translation,  Translation,  2748
media arts,  New_media_art,  244
sound and music computing,  Sound_and_music_computing,  16
computers in other domains,  Windows_domain,  248
digital libraries and archives,  Digital_library,  544
publishing,  Publishing,  821
military,  Military,  1177
cyberwarfare,  Cyberwarfare,  568
cartography,  Cartography,  991
agriculture,  Agriculture,  4162
computing in government,  Computer_and_network_surveillance,  203
voting / election technologies,  Electronic_voting,  529
e-government,  E-governance,  549
personal computers and pc applications,  Personal_computer,  2353
word processors,  List_of_word_processors,  475
spreadsheets,  Spreadsheet,  1445
computer games,  PC_game,  563
microcomputers,  Microcomputer,  638
operations research,  Category:Operations_research,  30
consumer products,  Fast-moving_consumer_goods,  1818
industry and manufacturing,  Manufacturing,  1584
supply chain management,  Supply_chain_management,  2479
command and control,  Command_and_control,  437
computer-aided manufacturing,  Computer-aided_manufacturing,  634
decision analysis,  Decision_analysis,  150
transportation,  Transport,  1872
forecasting,  Forecasting,  878
marketing,  Marketing,  4045
education,  Education,  7093
digital libraries and archives,  Digital_library,  544
computer-assisted instruction,  Intelligent_computer-assisted_language_instruction,  3
interactive learning environments,  Interactive_Learning,  51
collaborative learning,  Computer-supported_collaborative_learning,  50
learning management systems,  Learning_management_system,  731
distance learning,  Distance_education,  820
e-learning,  E-learning_(theory),  127
computer-managed instruction,  History_of_virtual_learning_environments,  66
document management and text processing,  Document_management_system,  695
document searching,  Full-text_search,  34
document management,  Document_management_system,  695
text editing,  Text_editor,  521
version control,  Version_control,  705
document metadata,  Metadata,  1969
document capture,  Document_capture_software,  24
document analysis,  Document_layout_analysis,  23
document scanning,  Image_scanner,  846
graphics recognition and interpretation,  Outline_of_object_recognition,  174
optical character recognition,  Optical_character_recognition,  1256
online handwriting recognition,  Handwriting_recognition,  196
document preparation,  Word_processor,  1121
markup languages,  Markup_language,  865
extensible markup language,  XML,  3501
hypertext languages,  Hypertext,  722
annotation,  Annotation,  428
format and notation,  Notation,  105
multi / mixed media creation,  Multimedia,  1660
image composition,  Composition_(visual_arts),  777
hypertext / hypermedia creation,  Hypertext,  722
document scripting languages,  Scripting_language,  1169
actionscript,  ActionScript,  366
activex,  ActiveX,  479
ada language,  Ada_(programming_language),  960
angularjs,  AngularJS,  2198
ansi c,  ANSI_C,  378
ajax,  Ajax_(programming),  1577
applescript,  AppleScript,  214
autocad,  AutoCAD,  1816
basic,  BASIC,  1206
business process execution language,  Business_Process_Execution_Language,  153
c,  C_(programming_language),  7266
c#,  C_Sharp_(programming_language),  2813
c++,  C%2B%2B,  3826
cdma systems,  Code_division_multiple_access,  1008
cell broadband engine,  Cell_(microprocessor),  362
cmos,  CMOS,  1523
corba,  Common_Object_Request_Broker_Architecture,  443
css,  Cascading_Style_Sheets,  2378
datalog,  Datalog,  157
db2,  IBM_DB2,  436
delphi,  Delphi_(programming_language),  800
dns,  Domain_Name_System,  4043
dos,  DOS,  1350
dreamweaver,  Adobe_Dreamweaver,  905
dsl,  Digital_subscriber_line,  822
dsm,  Delta-sigma_modulation,  305
eclipse,  Eclipse_(software),  1790
excel,  Microsoft_Excel,  3550
fortran,  Fortran,  1558
freebsd,  FreeBSD,  965
go,  Go_(programming_language),  2170
gsm,  GSM,  2657
haskell,  Haskell_(programming_language),  1090
hdtv,  High-definition_television,  1258
hp-ux,  HP-UX,  311
infiniband,  InfiniBand,  494
ip multimedia subsystem,  IP_Multimedia_Subsystem,  1172
iptv,  IPTV,  16091
java,  Java_(programming_language),  34761
java me,  Location_API_for_Java_ME,  7
javascript,  JavaScript,  4605
jquery,  JQuery,  1098
jsp,  Jackson_structured_programming,  46
lapack,  LAPACK,  132
lotus notes,  IBM_Notes,  506
lua,  Lua_(programming_language),  1198
macintosh os,  Macintosh_operating_systems,  367
macintosh,  Macintosh,  2388
mathematica,  Wolfram_Mathematica,  161
matlab,  MATLAB,  2180
mimo systems,  MIMO,  905
microsoft office,  Microsoft_Office,  3833
microsoft access,  Microsoft_Access,  2550
